Accession Code (sample#),LakeName,DEC_Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH_air_eq,ANC(ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2)
9746935,Big Moose,40752,19-Aug-97,21.3,I,6,Ye,5.3,17.5,5.54,8,5,0.01,0.35,0.25,4.2,0.13,0.17,4.76,0.25,1.11,17.72,1.46,4.38,87.6,5.4,1.2,1.7,0.49,1.6,1.42,3.04,0.69,29.67,0.33,8.25,0.14,0.33,26.81,1.16,57.07,204,84,45,39,TDL,black,9643.7,N/A,18.84,511.9,5119000
9846646,Big Moose,40752,14-Jul-98,21,I,4,Ye,3,17.6,5.37,-4.62,11.96,0.02,0.85,0.43,5.77,,0.2,5.67,0.17,0.75,11.98,1.11,3.34,66.79,6.25,1.63,2.25,0.54,1.43,1.6,3.42,0.51,22.06,0.26,6.55,0.15,0.23,18.78,1.43,70.07,,132.44,63.82,68.62,TDL,black,9643.7,N/A,18.84,511.9,5119000
9846718,Big Moose,40752,17-Aug-98,22.5,I,6,Ye,3.7,20.8,5.45,-11.75,12.75,0.02,0.9,0.25,5.21,0.19,,,0.14,0.62,9.92,2.05,6.15,123,6,2.39,5.3,0.39,3.35,,,0.63,27.09,0.29,7.3,0.21,0.24,20.01,1.64,80.23,,82.7,26.68,56.02,TDL,black,9643.7,N/A,18.84,511.9,5119000
9946145,Big Moose,40752,30-Jun-99,18,I,4,Ye,6.2,23.5,5.78,5.67,20.53,0.03,1.45,0.25,3.45,0.01,0.77,21.56,0.25,1.11,17.72,1.4,4.2,84,5.17,2.24,1.48,0.41,1.01,1.63,3.48,0.62,26.66,0.33,8.33,0.17,0.29,24.11,1.94,94.91,104.29,49.93,10.31,39.62,TDL,black,9643.7,N/A,18.84,511.9,5119000
9946219,Big Moose,40752,24-Aug-99,19,I,6,Ye,5.2,17.5,5.9,30.2,18.57,0.02,1.31,,1.65,0.06,0.52,14.56,0.22,0.97,15.59,1.73,5.19,103.8,3.25,2.29,0.5,0.47,1.58,1.38,2.95,0.65,27.91,0.36,8.9,0.16,0.31,25.58,1.48,72.72,112.2,27.64,0.8,26.84,TDL,black,9643.7,N/A,18.84,511.9,5119000
10046548,Big Moose,40752,19-Jul-00,21.6,I,7,Ye,3.5,16.5,5.55,6.13,7.11,0.01,0.5,0.5,2.8,0.06,0.37,10.28,0.14,0.64,10.2,1.39,4.18,83.58,3.99,3.22,2.26,0.39,1.71,1.37,2.93,0.54,23.18,0.29,7.15,0.24,0.26,21.4,1.64,80.56,212.22,76.82,28.74,48.07,TDL,black,9643.7,N/A,18.84,511.9,5119000
10046621,Big Moose,40752,23-Aug-00,22.5,I,8,Ye,4.4,14.9,5.43,2.43,20.48,0.03,1.45,0.5,4.32,0.06,0.25,6.86,0.12,0.54,8.57,1.41,4.22,84.48,6.81,3.55,2.19,0.33,2.77,1.24,2.65,0.57,24.6,0.31,7.78,0.26,0.24,19.27,1.64,80.31,209.39,88.48,33.41,55.07,TDL,black,9643.7,N/A,18.84,511.9,5119000
10146056,Big Moose,40752,18-Jul-01,22.5,I,6,Ye,5.1,15,5.61,4.57,15.93,0.02,1.13,0.38,6.85,0.05,0.77,21.5,0.2,0.86,13.82,1.28,3.83,76.56,4.01,2.67,1.47,0.41,1.46,1.26,2.7,0.62,26.66,0.29,7.3,0.13,0.24,19.76,1.47,72.18,193.82,69.94,7.18,62.76,TDL,black,9643.7,N/A,18.84,511.9,5119000
10146135,Big Moose,40752,8-Aug-01,21.3,I,4,Ye,6.5,16.4,5.92,12.31,10.11,0.01,0.72,0.46,2.95,0.05,0.24,6.78,0.18,0.78,12.47,1.28,3.84,76.74,4.07,0.5,1.7,0.39,1.61,1.29,2.76,0.54,23.39,0.28,7.1,0.13,0.26,21.07,1.55,76.05,136.81,29.22,5.07,24.15,TDL,black,9643.7,N/A,18.84,511.9,5119000
10246056,Big Moose,40752,14-Aug-02,21.2,I,6,Ye,6.2,16.8,5.81,13.39,24.78,0.03,1.75,0.39,2.72,0.06,0.37,10.36,0.21,0.92,14.74,1.39,4.18,83.52,3.7,3.92,1.77,0.35,0.98,1.8,3.85,0.61,26.32,0.29,7.18,0.13,0.26,21.48,1.55,76.1,145.41,44.53,4.85,39.68,TDL,black,9643.7,N/A,18.84,511.9,5119000
10246138,Big Moose,40752,17-Sep-02,21.3,I,9,Ye,7,16.4,5.77,4.49,22.27,0.03,1.57,0.5,2.39,0.07,0.36,9.97,0.21,0.91,14.53,1.47,4.4,88.08,3.4,1.35,1.41,0.35,1.45,1.51,3.23,0.61,26.14,0.28,6.98,0.13,0.25,20.25,1.55,76,111.28,29.84,0,29.84,TDL,black,9643.7,N/A,18.84,511.9,5119000
10346057,Big Moose,40752,16-Jul-03,22,I,6,Ye,4.8,16,5.69,10.73,17.04,0.02,1.21,,2.19,0.04,0.39,10.89,0.18,0.79,12.68,1.13,3.39,67.86,5.1,1.11,0.5,0.49,1.53,1.1,2.35,0.62,26.49,0.36,9.05,0.19,0.26,21.07,1.65,80.85,198.11,57.92,8.38,49.53,TDL,black,9643.7,N/A,18.84,511.9,5119000
10346145,Big Moose,40752,13-Aug-03,,I,,Ye,,16,5.47,3.67,9.47,0.01,0.67,0.61,3.4,0.04,0.32,8.99,0.18,0.81,12.9,1.43,4.3,85.98,4.16,1.21,1.54,0.41,2.06,1.38,2.95,0.59,25.37,0.28,6.88,0.3,0.24,19.6,1.35,65.95,200.62,70.38,13.15,57.23,TDL,black,9643.7,N/A,18.84,511.9,5119000
10346178,Big Moose,40752,5-Sep-03,20,I,7,Ye,4.3,16.8,5.68,6.98,17.94,0.02,1.27,,4.13,0.04,0.41,11.54,0.16,0.72,11.48,1.41,4.23,84.66,3.01,0.5,1.44,0.37,3.12,1.25,2.68,0.8,34.53,0.31,7.78,0.13,0.25,20.09,1.55,76.15,173.04,54.01,6.4,47.62,TDL,black,9643.7,N/A,18.84,511.9,5119000
10446059,Big Moose,40752,7-Jul-04,22.5,I,6,Ye,4.7,15.4,5.53,11.49,13.3,0.02,0.94,0.4,2.54,0.04,0.26,7.28,0.21,0.93,14.95,1.3,3.89,77.88,6.04,0.5,1.39,0.35,1.41,1.42,3.04,0.6,25.84,0.32,8.03,0.13,0.27,22.47,1.48,72.37,209.09,66.16,22.34,43.82,TDL,black,9643.7,N/A,18.84,511.9,5119000
10446143,Big Moose,40752,10-Aug-04,24,I,6,Ye,4.5,13.4,5.68,9.29,11.22,0.01,0.79,0.5,2.39,0.06,0.63,17.67,0.15,0.68,10.84,1.39,4.17,83.46,1.61,1.64,1.57,0.37,3.31,1.65,3.53,0.59,25.46,0.31,7.8,0.13,0.27,21.73,1.46,71.44,164.6,48.14,14.54,33.59,TDL,black,9643.7,N/A,18.84,511.9,5119000
10546058,Big Moose,40752,20-Jul-05,23.3,I,4,Ye,4.1,16.6,5.82,-0.68,5,0.01,0.35,0.42,3.17,0.05,0.43,11.96,0.17,0.75,11.98,1.19,3.57,71.4,2.32,0.5,1.27,0.41,3.15,1.53,3.27,0.71,30.66,0.33,8.33,0.34,0.25,20.83,1.41,69.09,183.67,43.28,13.6,29.68,TDL,black,9643.7,N/A,18.84,511.9,5119000
10546144,Big Moose,40752,17-Aug-05,23.2,I,5,Ye,4.9,16.9,6.12,14.67,5,0.01,0.35,0.38,2.31,0.05,0.47,13.19,0.12,0.54,8.65,1.19,3.57,71.4,3.34,2.48,2.93,0.23,4.74,1.3,2.78,0.77,33.07,0.36,9,0.26,0.25,20.42,1.39,68.26,133.42,32.19,10.6,21.59,TDL,black,9643.7,N/A,18.84,511.9,5119000
10646058,Big Moose,40752,17-Jul-06,22.6,I,4,Ye,3.95,16.2,5.53,5.8,5,0.01,0.35,0.51,4.46,0.05,0.39,11.03,0.08,0.35,5.63,1.16,3.48,69.6,5.85,3.31,1.77,0.38,4.3,1.35,2.89,0.56,24.17,0.26,6.6,0.44,0.22,18.2,1.42,69.68,274.89,58.09,22.4,35.7,TDL,black,9643.7,N/A,18.84,511.9,5119000
10646144,Big Moose,40752,16-Aug-06,20.5,I,6,Ye,4.1,16.1,5.74,10.14,12.6,0.02,0.89,0.51,2.95,0.05,0.36,10.05,0.05,0.24,3.89,1.09,3.27,65.4,7.81,3.84,1.1,0.31,4.05,1.17,2.5,0.61,26.32,0.24,5.9,0.13,0.22,18.29,1.4,68.75,230.67,56.58,20.18,36.4,TDL,black,9643.7,N/A,18.84,511.9,5119000
10746022,Big Moose,40752,12-Jul-07,21,I,5,Ye,4.9,15.5,5.72,4.15,14.8,0.02,1.1,0.42,4.4,0.06,0.43,11.98,0.31,1.37,21.92,1.25,3.75,75,3.7,4.81,2.35,0.24,1.78,1.62,3.47,0.55,23.82,0.28,7.05,0.13,0.24,19.52,1.31,63.99,177.37,62.17,22.29,39.88,TDL,black,9643.7,N/A,18.84,511.9,5119000
10746064,Big Moose,40752,31-Jul-07,21,I,6,Ye,4.9,14.6,5.73,8.05,5,0.01,0.55,0.46,1.75,0.03,0.72,20.05,0.03,0.11,1.76,0.14,0.42,8.4,7.8,4.18,0.5,0.4,3.05,1.5,3.21,0.58,24.85,0.31,7.8,0.16,0.22,17.71,1.33,65.17,160.93,51.92,19.27,32.65,TDL,black,9643.7,N/A,18.84,511.9,5119000
10846023,Big Moose,40752,1-Jul-08,20.9,I,5,Ye,4.5,6.6,5.72,10.03,31.6,0.04,2.24,0.44,1.7,0.05,0.54,15.04,0.15,0.66,10.56,1.14,3.42,68.4,3.76,3.87,0.5,0.25,0.41,1.51,3.23,0.49,21.11,0.31,7.63,0.13,0.18,14.68,1.71,83.55,185.25,26.42,12.06,14.36,TDL,black,9643.7,N/A,18.84,511.9,5119000
10846065,Big Moose,40752,4-Aug-08,20.5,I,6,Ye,3,11.7,5.84,9.29,21.9,0.03,1.55,,2.78,0.03,0.39,10.86,0.11,0.47,7.52,1.1,3.3,66,4.93,1.28,0.91,0.33,3.58,1.53,3.27,0.51,21.76,0.28,7.05,0.13,0.19,15.33,1.87,91.53,187.12,51.78,31.68,20.1,TDL,black,9643.7,N/A,18.84,511.9,5119000
11046023,Big Moose,40752,8-Jul-10,21,I,1,Ye,2.8,14.6,5.92,16.24,21.3,0.03,1.51,0.39,4.42,0.06,0.57,16.02,0.03,0.11,1.76,1.3,3.9,78,5.21,4.8,0.13,0.22,3.4,1.41,3.02,0.67,28.72,0.22,5.5,0.13,0.17,13.69,0.97,47.43,199.52,53,27.15,25.85,TDL,black,9643.7,N/A,18.84,511.9,5119000
11046066,Big Moose,40752,18-Aug-10,22.5,I,6,Ye,3.5,14.8,6.13,23.64,22.3,0.03,1.58,0.47,4,0.05,0.44,12.18,0,0.02,0.32,0.98,2.93,58.6,4.78,3.5,4.12,0.26,7.57,1.35,2.89,0.62,26.7,0.18,4.5,0.14,0.17,14.02,0.92,44.98,149.65,33.03,13.47,19.56,TDL,black,9643.7,N/A,18.84,511.9,5119000
11146022,Big Moose,40752,12-Jul-11,21.5,I,5,Ye,2.8,8.4,5.84,16.75,20,0.03,1.41,0.43,3.23,0.03,0.26,7.39,0.05,0.23,3.68,0.55,1.66,33.2,8.69,2.04,2.65,0.35,3.33,1.51,3.23,0.51,21.72,0.26,6.58,0.29,0.19,15.66,1.21,59.44,149.18,72.23,40.8,31.44,TDL,black,9643.7,N/A,18.84,511.9,5119000
11146061,Big Moose,40752,9-Aug-11,21,I,5,Ye,2.8,12.5,6.02,15.11,11.1,0.01,0.78,0.439,4.278,0.025,0.242,6.78,0.393,1.741,27.856,0.799,2.4,47.94,4.62,5.29,1.46,0.2,3.63,1.17,2.5,0.533,22.919,2.65,66.25,0.36,0.197,16.154,1.223,59.927,111.936,41.446,16.19,25.26,TDL,black,9643.7,N/A,18.84,511.9,5119000
11246021,Big Moose,40752,9-Jul-12,21,I,4,Ye,3.3,14.8,6.13,22.4,32.5,0.042,2.299,0.433,3.554,0.0515,0.401,11.228,0.2,0.886,14.173,0.861,2.583,51.66,4.758,3.06,4.541,0.463,4.2,1.55,3.32,0.658,28.294,0.227,5.675,0.231,0.245,20.09,1.914,93.786,204.31,27.685,8.338,19.35,TDL,black,9643.7,N/A,18.84,511.9,5119000
11246061,Big Moose,40752,7-Aug-12,18,I,6,Ye,5.9,15.1,6.28,26.47,34.8,0.045,2.461,0.536,3.23,0.0493,0.494,13.832,0.122,0.54,8.645,0.817,2.451,49.02,3.882,3.06,0.381,0.468,4.32,1.29,2.76,0.579,24.897,0.219,5.475,0.195,0.24,19.68,1.654,81.046,150.16,20.94,3.4,17.54,TDL,black,9643.7,N/A,18.84,511.9,5119000
9446859,Big Moose,40752,30-Jun-94,22.8,G,21,Yh,3.8,22.8,5.03,7.2,50,0.06,3.54,0.81,4.71,,0.32,8.96,0.36,1.6,25.58,1.38,4.14,82.8,3.6,4,2.9,0.64,0.65,1.94,4.15,0.46,19.78,0.35,8.75,0.22,0.26,21.4,1.35,65.98,,,,,TDL,black,9643.7,N/A,18.84,511.9,5119000
9446868,Big Moose,40752,25-Jul-94,23,G,22,Yh,5.2,23,5.14,-1.4,90,0.12,6.37,0.57,3.17,,0.39,10.92,0.34,1.52,24.31,1.56,4.68,93.6,3.7,1.8,,0.66,0.49,1.88,4.02,0.46,19.78,0.34,8.5,0.25,0.28,23.21,1.39,68.22,334,190,47,143,TDL,black,9643.7,N/A,18.84,511.9,5119000
9446985,Big Moose,40752,30-Aug-94,22.4,G,20,Yh,6.1,25,5.19,19,90,0.12,6.37,0.43,3.6,,0.43,12.04,0.34,1.48,23.74,1.54,4.62,92.4,,1.8,6.9,0.56,0.83,2.32,4.96,0.51,21.93,0.34,8.5,0.22,0.27,22.47,1.71,83.99,310,160,48,112,TDL,black,9643.7,N/A,18.84,511.9,5119000
9546854,Big Moose,40752,20-Jun-95,17.5,G,17,Yh,5,20,5.43,7.85,30,0.04,2.12,,3.08,,0.61,17.11,0.3,1.34,21.4,1.41,4.23,84.6,4.6,2.1,7.1,0.05,,1.65,3.53,0.73,31.39,0.43,10.75,0.1,0.31,25.42,1.44,70.56,239,100,40,60,TDL,black,9643.7,N/A,18.84,511.9,5119000
9546872,Big Moose,40752,7-Aug-95,22,G,21,Yh,5,19,5.38,-6.22,90,0.12,6.37,1.64,3.34,,0.63,17.64,0.51,2.26,36.14,1.38,4.14,82.8,5.2,1.2,3.2,0.9,0.25,2.18,4.67,0.62,26.66,0.35,8.75,0.19,0.31,25.42,1.49,73.15,267,140,33,107,TDL,black,9643.7,N/A,18.84,511.9,5119000
9546972,Big Moose,40752,12-Sep-95,22.8,G,22,Yh,5.8,19,5.63,13,133,0.17,9.41,2.39,3.66,,0.52,14.42,0.35,1.53,24.52,1.34,4.03,80.51,1.9,2.07,2.23,0.82,1.79,0.17,0.36,0.67,28.81,0.39,9.75,0.58,0.29,23.78,1.24,60.54,313,140,60,80,TDL,black,9643.7,N/A,18.84,511.9,5119000
9646743,Big Moose,40752,26-Jun-96,18.6,G,17,Yh,3.3,19.6,5.18,2.32,31,0.04,2.19,1.41,5.01,,0.28,7.84,0.27,1.2,19.13,1.17,3.51,70.2,2.45,0.5,,0.77,0.29,1.9,4.07,0.55,23.65,0.32,8,0.24,0.27,22.14,1.46,71.59,322,250,73,177,TDL,black,9643.7,N/A,18.84,511.9,5119000
9646830,Big Moose,40752,23-Jul-96,22,G,20,Yh,3.2,19,5.26,-5.31,64,0.08,4.53,1.78,3.81,,0.34,9.52,0.35,1.56,24.94,1.62,4.86,97.2,4.07,0.5,1.95,0.63,0.07,0,,0.55,23.65,0.32,8,0.3,0.28,22.96,1.42,69.38,330,220,81,139,TDL,black,9643.7,N/A,18.84,511.9,5119000
9646901,Big Moose,40752,20-Aug-96,21.8,G,20,Yh,4.5,19.6,5.41,-7.83,73,0.09,5.16,1.97,6.71,,0.46,12.85,0.35,1.56,24.94,1.67,5.02,100.38,7.12,0.5,1.58,0.68,1.6,2.03,4.34,0.55,23.65,0.31,7.75,0.4,0.28,22.96,1.52,74.36,80,21,21,0,TDL,black,9643.7,N/A,18.84,511.9,5119000
9746864,Big Moose,40752,9-Jul-97,22,G,20,Yh,8.5,20.7,5.82,-6.24,30,0.04,2.12,1.03,5.2,0.03,0.28,7.84,0.4,1.77,28.35,1.54,4.62,92.4,5.6,1.07,3.3,0.6,0.29,1.91,4.09,0.53,22.79,0.35,8.75,0.21,0.2,16.4,1.38,67.43,337,130,50,80,TDL,black,9643.7,N/A,18.84,511.9,5119000
9746937,Big Moose,40752,19-Aug-97,21.3,G,20,Yh,5.3,19.8,5.35,2,40,0.05,2.83,1.41,4.6,0.13,0.17,4.76,0.35,1.55,24.8,1.37,4.11,82.2,11.7,1.2,6.6,0.67,0.6,1.97,4.22,0.54,23.22,0.35,8.75,0.29,0.28,22.8,1.49,73.18,343,240,64,176,TDL,black,9643.7,N/A,18.84,511.9,5119000
9846647,Big Moose,40752,14-Jul-98,21,G,20,Yh,3,19.46,5.51,2.41,31.61,0.04,2.24,1.8,4.19,0.05,0.3,8.32,0.34,1.5,23.95,1.43,4.28,85.67,5.41,2.22,2.25,0.72,0.16,2.14,4.58,0.54,23.13,0.36,9,0.46,0.24,19.84,1.41,68.92,,147.31,58.23,89.08,TDL,black,9643.7,N/A,18.84,511.9,5119000
9846719,Big Moose,40752,17-Aug-98,22.5,G,21,Yh,3.7,34.2,5.59,3.16,80.24,0.1,5.68,2.22,3.89,0.15,0.47,13.16,0.07,0.31,4.96,2.85,8.55,171,7.88,2.72,3.3,0.65,0.97,2.18,4.67,0.61,26.02,0.31,7.68,0.41,0.26,20.99,1.89,92.43,,117.2,31.75,85.45,TDL,black,9643.7,N/A,18.84,511.9,5119000
9946146,Big Moose,40752,30-Jun-99,18,G,17,Yh,6.2,22.9,5.35,-2.97,41.94,0.05,2.97,2.04,3.35,0.03,0.31,8.68,0.3,1.33,21.26,1.38,4.14,82.8,1.93,2.16,1.82,0.54,0.3,2.14,4.57,0.57,24.47,0.34,8.43,0.34,0.28,22.96,1.61,78.89,38.69,94.34,28.77,65.58,TDL,black,9643.7,N/A,18.84,511.9,5119000
9946220,Big Moose,40752,24-Aug-99,19,G,17,Yh,5.2,18.6,5.5,8.6,60.06,0.08,4.25,,2.05,0.08,0.35,9.8,0.28,1.24,19.84,1.46,4.38,87.6,4.87,2.38,4.44,0.56,0.5,2.05,4.38,0.58,24.9,0.36,9.03,0.46,0.28,23.21,1.41,69.14,200.81,92.49,30.7,61.79,TDL,black,9643.7,N/A,18.84,511.9,5119000
10046549,Big Moose,40752,19-Jul-00,21.6,G,21,Yh,3.5,18.3,5.57,7.16,49.98,0.06,3.54,2.11,2.84,0.06,0.34,9.6,0.25,1.11,17.72,1.48,4.44,88.74,5.37,0.5,1.57,0.53,0.52,2.12,4.54,0.52,22.32,0.33,8.23,0.25,0.27,21.89,1.71,83.59,278.74,94.24,33.8,60.44,TDL,black,9643.7,N/A,18.84,511.9,5119000
10046622,Big Moose,40752,23-Aug-00,22.5,G,21,Yh,4.4,,,,101.98,0.13,7.21,2.93,,0.06,0.34,9.58,0.23,1.03,16.51,1.48,4.43,88.5,4.9,6.63,,0.45,0.46,2.03,4.34,0.57,24.38,0.37,9.18,0.6,0.24,19.6,1.77,86.53,269.83,102.55,35.76,66.79,TDL,black,9643.7,N/A,18.84,511.9,5119000
10146057,Big Moose,40752,18-Jul-01,22.5,G,21,Yh,5.1,16,5.69,11.81,74.32,0.1,5.26,1.94,3.79,0.05,0.53,14.76,0.27,1.18,18.92,1.33,3.99,79.86,5.28,3.58,1.47,0.61,0.23,1.85,3.96,0.57,24.34,0.33,8.15,0.61,0.24,19.6,1.53,74.73,247.54,90.92,9.17,81.75,TDL,black,9643.7,N/A,18.84,511.9,5119000
10146136,Big Moose,40752,8-Aug-01,21.3,G,19,Yh,6.5,17.9,5.92,16.6,89.68,0.12,6.34,3.1,3.3,0.04,0.64,17.78,0.28,1.24,19.91,1.32,3.96,79.26,7.97,1.12,1.86,0.7,0.64,1.9,4.07,0.51,21.8,0.32,7.88,0.86,0.25,20.75,1.46,71.69,281.17,97.22,10.42,86.8,TDL,black,9643.7,N/A,18.84,511.9,5119000
10246057,Big Moose,40752,14-Aug-02,21.2,G,20,Yh,6.2,18.3,5.65,13.58,69.31,0.09,4.9,1.86,2.86,0.06,0.42,11.79,0.25,1.12,18,1.4,4.21,84.18,7.32,5.78,5.21,0.55,0.02,2.47,5.29,0.57,24.51,0.3,7.58,0.66,0.25,20.58,1.58,77.57,349.97,108.63,37.3,71.33,TDL,black,9643.7,N/A,18.84,511.9,5119000
10246139,Big Moose,40752,17-Sep-02,21.3,G,20,Yh,7,18,5.73,-0.11,111.81,0.14,7.91,3.06,3.03,0.07,0.36,9.94,0.23,1.01,16.23,1.42,4.27,85.38,6.75,2.32,2.08,0.69,0.15,2.35,5.03,0.57,24.3,0.29,7.35,1.03,0.26,21.16,1.48,72.52,349.43,87.85,28.31,59.54,TDL,black,9643.7,N/A,18.84,511.9,5119000
10346059,Big Moose,40752,16-Jul-03,22,G,21,Yh,4.8,17.3,5.63,11.22,66.6,0.09,4.71,,2.98,0.06,0.54,14.98,0.34,1.49,23.81,1.47,4.41,88.14,6.11,1.27,1.37,0.57,0.35,2.06,4.41,0.6,25.71,0.32,8.05,0.25,0.26,20.99,1.69,82.61,264.57,103.13,24.17,78.96,TDL,black,9643.7,N/A,18.84,511.9,5119000
10346146,Big Moose,40752,13-Aug-03,,G,,Yh,,24.5,5.66,10.94,75.24,0.1,5.32,2.45,2.75,0.06,0.31,8.74,0.31,1.36,21.83,1.43,4.3,86.04,5.38,0.5,1.5,0.53,0.22,2.12,4.54,0.59,25.41,0.32,7.88,0.36,0.24,19.84,1.86,90.94,263.49,97.49,18.57,78.92,TDL,black,9643.7,N/A,18.84,511.9,5119000
